Serial_Number,target,feature,feature_label,feature_value,shap_value,unit
21,PLQY,Temperature,Temperature,153.9,1.900994,percentage points
21,PLQY,Molar Ratio,Molar ratio,350.2,3.524816,percentage points
21,PLQY,H2SO4 Volume,H2SO4 amount,3.97,0.063649,percentage points
22,PLQY,Time,Time,10.41,0.408991,percentage points
22,PLQY,Temperature,Temperature,155.3,2.106011,percentage points
22,PLQY,Molar Ratio,Molar ratio,436.5,0.241642,percentage points
22,PLQY,H2SO4 Volume,H2SO4 amount,3.84,-0.276595,percentage points
23,PLQY,Time,Time,10.78,0.212942,percentage points
23,PLQY,Temperature,Temperature,153.2,1.25288,percentage points
23,PLQY,Molar Ratio,Molar ratio,473.9,-0.399598,percentage points
23,PLQY,H2SO4 Volume,H2SO4 amount,3.99,-0.200697,percentage points
24,PLQY,Time,Time,10.93,0.110308,percentage points
24,PLQY,Temperature,Temperature,151.8,0.633994,percentage points
24,PLQY,Molar Ratio,Molar ratio,305.1,2.612555,percentage points
24,PLQY,H2SO4 Volume,H2SO4 amount,3.54,-0.828188,percentage points
25,PLQY,Time,Time,11.78,0.06893,percentage points
25,PLQY,Temperature,Temperature,154.8,1.922392,percentage points
25,PLQY,Molar Ratio,Molar ratio,346.1,3.038409,percentage points
25,PLQY,H2SO4 Volume,H2SO4 amount,3.77,-0.149022,percentage points
26,PLQY,Time,Time,10.68,0.418221,percentage points
26,PLQY,Temperature,Temperature,159.1,0.952705,percentage points
26,PLQY,Molar Ratio,Molar ratio,268.4,3.85692,percentage points
26,PLQY,H2SO4 Volume,H2SO4 amount,3.92,-0.131417,percentage points
27,PLQY,Time,Time,8.79,0.385519,percentage points
27,PLQY,Temperature,Temperature,155.1,2.002658,percentage points
27,PLQY,Molar Ratio,Molar ratio,415.1,0.028145,percentage points
27,PLQY,H2SO4 Volume,H2SO4 amount,2.29,-0.695654,percentage points
28,PLQY,Time,Time,8.29,0.610429,percentage points
28,PLQY,Temperature,Temperature,152.6,1.2114,percentage points
28,PLQY,Molar Ratio,Molar ratio,466.6,-0.200185,percentage points
28,PLQY,H2SO4 Volume,H2SO4 amount,2.69,-0.864016,percentage points
29,PLQY,Time,Time,9.75,1.171829,percentage points
29,PLQY,Temperature,Temperature,154.1,2.393012,percentage points
29,PLQY,Molar Ratio,Molar ratio,272.1,4.705876,percentage points
29,PLQY,H2SO4 Volume,H2SO4 amount,1.89,0.376752,percentage points
30,PLQY,Time,Time,10.49,1.065822,percentage points
30,PLQY,Temperature,Temperature,155.4,2.950297,percentage points
30,PLQY,Molar Ratio,Molar ratio,368.1,4.431499,percentage points
30,PLQY,H2SO4 Volume,H2SO4 amount,1.51,3.74127,percentage points
31,PLQY,Time,Time,11.84,-0.882094,percentage points
31,PLQY,Temperature,Temperature,156.1,0.72756,percentage points
31,PLQY,Molar Ratio,Molar ratio,325.6,2.501889,percentage points
31,PLQY,H2SO4 Volume,H2SO4 amount,1.82,-0.774706,percentage points
32,PLQY,Time,Time,11.85,-0.703341,percentage points
32,PLQY,Temperature,Temperature,155.9,1.198771,percentage points
32,PLQY,Molar Ratio,Molar ratio,410.7,-0.117907,percentage points
32,PLQY,H2SO4 Volume,H2SO4 amount,1.59,0.489266,percentage points
33,PLQY,Time,Time,10.01,0.307476,percentage points
33,PLQY,Temperature,Temperature,153.3,0.94341,percentage points
33,PLQY,Molar Ratio,Molar ratio,293.9,3.00392,percentage points
33,PLQY,H2SO4 Volume,H2SO4 amount,1.37,2.286103,percentage points
34,PLQY,Time,Time,9.67,1.025865,percentage points
34,PLQY,Temperature,Temperature,155.4,2.881555,percentage points
34,PLQY,Molar Ratio,Molar ratio,374.5,4.233341,percentage points
34,PLQY,H2SO4 Volume,H2SO4 amount,1.12,3.880428,percentage points
35,PLQY,Time,Time,10.04,0.126142,percentage points
35,PLQY,Temperature,Temperature,162.3,0.487032,percentage points
35,PLQY,Molar Ratio,Molar ratio,476.6,-1.142824,percentage points
35,PLQY,H2SO4 Volume,H2SO4 amount,1.02,2.072998,percentage points
36,PLQY,Time,Time,8.36,0.805021,percentage points
36,PLQY,Temperature,Temperature,155.7,2.183261,percentage points
36,PLQY,Molar Ratio,Molar ratio,448.7,0.053919,percentage points
36,PLQY,H2SO4 Volume,H2SO4 amount,1.03,3.150467,percentage points
1,FWHM,Time,Time,10.0,-0.729671,nm
1,FWHM,Temperature,Temperature,150.0,3.136356,nm
1,FWHM,Molar Ratio,Molar ratio,400.0,0.082699,nm
1,FWHM,H2SO4 Volume,H2SO4 amount,3.0,2.155671,nm
2,FWHM,Time,Time,10.0,-1.127269,nm
2,FWHM,Temperature,Temperature,150.0,3.769426,nm
