Serial_Number,target,SHAP_Time,SHAP_Temperature,SHAP_Molar Ratio,SHAP_H2SO4 Volume
1,FWHM,-0.7296712962962908,3.1363564814814824,0.08269907407407474,2.1556712962963056
2,FWHM,-1.1272685185185143,3.7694259259259257,-0.4030462962962939,4.21594444444445
3,FWHM,-1.2116249999999957,2.425995370370373,9.73603240740741,1.578652777777793
4,FWHM,-1.0816018518518553,2.2498888888888806,11.061064814814811,5.449703703703706
5,FWHM,-0.26535185185185084,3.3715833333333314,0.12878703703704095,3.222037037037041
6,FWHM,-0.6485879629629588,1.7216435185185224,-1.2553009259259202,2.999300925925933
7,FWHM,-0.3326296296296392,2.9361111111110985,10.057009259259253,1.6165648148148155
8,FWHM,0.33761574074073764,3.017041666666654,13.023745370370362,5.744652777777778
9,FWHM,4.420125000000002,3.208171296296299,-0.1731712962962971,1.3299305555555607
10,FWHM,5.383898148148152,4.035944444444448,-0.10036111111111207,4.751574074074078
11,FWHM,5.5049027777777795,3.061819444444452,11.04689351851852,1.6114398148148255
12,FWHM,5.3917175925925935,3.486152777777772,11.325902777777774,5.239282407407412
13,FWHM,3.675675925925933,2.234629629629639,0.10555555555556434,2.417194444444454
14,FWHM,4.304967592592586,0.4305509259259228,-0.30344907407407895,3.2069861111111075
15,FWHM,3.82440277777777,1.012439814814812,10.249782407407402,2.204430555555554
16,FWHM,2.417097222222225,-0.1405324074074148,11.101523148148145,4.254967592592594
17,FWHM,-2.452699074074073,-0.1809027777777778,-1.781837962962958,2.056495370370377
18,FWHM,-0.4844305555555549,2.2248842592592615,-4.377597222222223,2.1161990740740704
19,FWHM,0.9262361111111119,4.2966157407407355,-3.285523148148155,-3.6062731481481487
20,FWHM,-1.3231342592592608,1.4465046296296347,5.145078703703703,-3.9073935185185102
21,FWHM,-2.534995370370366,-3.492310185185185,-7.380550925925924,2.038912037037038
22,FWHM,-3.593652777777779,-3.835986111111111,-4.528050925925928,1.5667453703703687
23,FWHM,-2.4716712962963,-1.2915694444444459,-4.1003194444444455,2.876615740740738
24,FWHM,-2.4279675925925917,-0.6686435185185122,-7.1360972222222205,1.2877638888888872
25,FWHM,-0.9597870370370398,-4.302527777777779,-8.97294444444444,0.6103148148148136
26,FWHM,-2.2194305555555536,-2.524643518518519,-6.800597222222225,2.345726851851847
27,FWHM,-1.2364166666666663,-3.877935185185181,-2.936925925925932,-5.55366666666667
28,FWHM,-1.055925925925921,-0.9650462962962927,-3.1901481481481464,-1.1878240740740715
29,FWHM,-2.3119259259259275,-4.835796296296296,-7.47927777777778,-6.54194444444445
30,FWHM,-4.135865740740737,-4.232754629629632,-5.155356481481485,-7.830967592592594
31,FWHM,0.6215277777777708,-2.7359722222222222,-6.118592592592592,-4.303907407407406
32,FWHM,0.8723194444444424,-2.6264953703703706,-2.52219907407408,-6.674569444444444
33,FWHM,-2.5171435185185183,-2.8318379629629633,-5.978236111111114,-6.6597268518518575
34,FWHM,1.1263750000000023,-2.699236111111113,-0.3143842592592604,-4.631699074074072
35,FWHM,-2.385037037037036,-3.317129629629631,-4.126037037037032,-8.308740740740738
36,FWHM,-1.3000416666666663,-3.5064398148148164,-4.644069444444451,-7.690393518518516
