state,training_n,pool_size,seed,runtime_seconds,mean_poolwise_acquisition,mean_fixed_reference_score,relative_to_20000_reference_percent,nearest_distance_to_reference_top4_scaled,mean_pred_FWHM,mean_pred_PLQY_percent
cycle_3_start_n24,24,1000,22,0.5239591999998083,0.8401703568150508,0.3598585805322026,59.99266945236512,0.2521403348577425,47.439288988505496,18.592756406681787
cycle_3_start_n24,24,1000,33,0.5244329999986803,0.8254664865466004,0.47465333052585557,79.13030813545839,0.1907756585011961,48.38455239109958,21.395329828297456
cycle_3_start_n24,24,2000,11,1.0252799000008963,0.8340166445809324,0.355100782630687,59.19948842996279,0.3002528901674208,47.654862518414035,18.320143828658296
cycle_3_start_n24,24,2000,22,1.0585317000077339,0.8431420756447627,0.35989057641466793,59.99800354332313,0.18266163762059232,49.41707418641551,19.270335986352567
cycle_3_start_n24,24,2000,33,1.066974699991988,0.8112598297795326,0.3904219552731451,65.08794447809998,0.19782889771646683,47.69216736052531,22.095726367801397
cycle_3_start_n24,24,5000,11,2.6416257999953814,0.8184180942565324,0.5300214833495431,88.36083220862906,0.11306613112057519,48.41154368449345,23.582302193310795
cycle_3_start_n24,24,5000,22,2.5678335999982664,0.8208633138957241,0.4493580601179036,74.91328823267283,0.12192500307536867,47.28783841855671,21.8315644587148
cycle_3_start_n24,24,5000,33,2.6828058999963105,0.8226348324850513,0.4569745339024596,76.18304423925105,0.2105141370004903,48.33046770537763,21.00189963844195
cycle_3_start_n24,24,10000,11,5.37730670000019,0.8291354038438954,0.4741046616898077,79.03883856963296,0.13622874403195034,48.14858520157624,21.30169325947591
cycle_3_start_n24,24,10000,22,5.142641500002355,0.8184479362452675,0.5050964085783991,84.20552828448957,0.1283373861565847,47.34577147550797,22.24983762639946
cycle_3_start_n24,24,10000,33,5.143301499992958,0.7874545195228673,0.4225933199692009,70.45129039356371,0.13864746952339776,47.480743655175715,23.862215292265493
cycle_3_start_n24,24,20000,11,10.633500299998559,0.8106155985187142,0.5759851612981047,96.02351940620794,0.07675853499088786,47.61918333150591,24.16082158039409
cycle_3_start_n24,24,20000,22,10.311650799994823,0.824463290298031,0.510634432157105,85.12878212905636,0.10358196778865306,48.04463054291568,21.917431173931185
cycle_3_start_n24,24,20000,33,10.459835499990731,0.8200585165353911,0.5038351893895668,83.99526817122315,0.08703168483896292,48.85972221296626,22.765640489825934
cycle_4_start_n28,28,250,11,0.13651909999316558,0.8504933779807408,0.33740872675401185,60.152998472251056,0.3956344696102482,44.698724852846816,21.563305578877674
cycle_4_start_n28,28,250,22,0.12825890000385698,0.8510510406410252,0.24562112278530684,43.789166823858615,0.327003468462303,49.07276670997037,20.760208423425617
cycle_4_start_n28,28,250,33,0.12930659999256022,0.8576297131290542,0.2939820062714421,52.41091226134118,0.2887843036023046,43.93748338160861,18.696990579666323
cycle_4_start_n28,28,500,11,0.26153920000069775,0.8500398681900835,0.30765697651808194,54.84887666216688,0.3395696034891481,43.5972538928129,20.84454049890429
cycle_4_start_n28,28,500,22,0.26210989999526646,0.87814751312029,0.287963770210647,51.33798522695958,0.3375283101137255,46.63963631651136,18.673963246603453
cycle_4_start_n28,28,500,33,0.2630790000112029,0.8499816915255632,0.2798623168829527,49.893663634177855,0.3482665386460889,43.762322684966996,18.684858081023094
cycle_4_start_n28,28,1000,11,0.5202377999958117,0.8548000877223156,0.3018521878636808,53.81400288631905,0.3926983447097128,42.756193761943194,18.57846716744515
cycle_4_start_n28,28,1000,22,0.5238654000131646,0.8573073128669809,0.29538922624459607,52.66179048168125,0.3590557789676583,44.05967176717997,18.62992819844407
cycle_4_start_n28,28,1000,33,0.5062438000022667,0.838152608437643,0.4289478054910484,76.47252321126184,0.21930963449217714,41.297954804503476,21.267780170347358
