Serial_Number,target,SHAP_Time,SHAP_Temperature,SHAP_Molar Ratio,SHAP_H2SO4 Volume
1,PLQY,0.5511512500000133,1.185578472222224,0.23422337962963743,-1.4499447685185367
2,PLQY,0.034967916666664906,1.2591958796296514,0.8063168981481674,0.3358676388889184
3,PLQY,0.420306805555564,-0.07548995370372771,-4.996106435185187,-0.6709420833333519
4,PLQY,-0.3080084722222166,-0.09085486111109674,-6.317735787037046,-0.7788525462962863
5,PLQY,0.28629361111111573,-4.944837592592608,-1.4978416666666865,-1.6497860185185103
6,PLQY,0.05815231481481649,-4.79400472222228,-0.932141111111115,0.21324185185184494
7,PLQY,0.1340000925926003,-1.865555555555513,-2.387821018518464,-0.7352151851851447
8,PLQY,-0.1516513425925862,-1.7035722685185541,-3.615710601851855,-0.6657774537037513
9,PLQY,-1.8027550462963176,0.9035127314814663,0.006732175925917211,-2.271521527777821
10,PLQY,-0.5361949999999783,1.3230310185185483,0.6498980555555909,1.2970342592593218
11,PLQY,-1.4259632407407508,-0.3781021296296534,-4.715961388888891,-1.8204849074074252
12,PLQY,0.19695666666666434,0.08645842592594125,-5.398026574074098,0.42283981481483623
13,PLQY,-1.2414497222222254,-4.400740370370376,-1.5716784259259433,-2.0728631481481425
14,PLQY,-0.6484570833333261,-4.865616064814883,-0.9536371759259237,0.6112986574074113
15,PLQY,-0.7543945833333413,-1.2102923611110656,-1.822309120370321,-1.210055601851813
16,PLQY,-0.1011602777777823,-1.9807330555555933,-2.8801062037037166,-0.2017321296296739
17,PLQY,0.3254423148148101,1.0992744444444658,2.0485048148148404,-0.3511332407407253
18,PLQY,-0.77882115740744,0.2582521759259209,2.678442453703683,-0.5980851388888986
19,PLQY,-0.07578060185186135,-4.065139305555558,2.335745138888854,-0.33333689814813994
20,PLQY,0.20129643518518137,-1.4882975462962522,-2.043203287036977,-0.2111872685184828
21,PLQY,0.4840087500000057,1.9009943981481687,3.5248162500000157,0.06364893518521343
22,PLQY,0.4089907870370624,2.1060111574074547,0.24164180555560105,-0.2765954166666293
23,PLQY,0.21294208333331888,1.2528804166666743,-0.39959763888891214,-0.20069652777778657
24,PLQY,0.1103084259259243,0.6339935185185166,2.612554629629618,-0.828188240740759
25,PLQY,0.06892976851850344,1.9223918055555385,3.0384091203703414,-0.14902236111111655
26,PLQY,0.4182207870370309,0.9527052314814798,3.8569195833332883,-0.13141726851852376
27,PLQY,0.3855192129629315,2.0026578240740456,0.028145416666650824,-0.6956541203704024
28,PLQY,0.6104290277778006,1.211400324074086,-0.2001853240740435,-0.8640156944444465
29,PLQY,1.1718288425925736,2.393011990740712,4.705875879629566,0.3767516203703452
30,PLQY,1.0658224537036907,2.9502969907407004,4.431498935185127,3.7412699537036342
31,PLQY,-0.8820938888888753,0.727560092592606,2.501888611111103,-0.7747064814814721
32,PLQY,-0.7033405092592466,1.198770509259277,-0.11790736111109282,0.489265694444423
33,PLQY,0.30747555555558836,0.9434101851852311,3.00391972222224,2.2861028703704096
34,PLQY,1.0258652777777875,2.8815546296296115,4.233340833333317,3.880427592592582
35,PLQY,0.12614157407408863,0.48703212962966,-1.1428237962962808,2.0729984259259444
36,PLQY,0.8050209722222162,2.183261435185184,0.05391921296298641,3.1504667129629613
