pool_size,mean_relative_efficiency_percent,sd_relative_efficiency_percent,mean_distance_to_reference_top4,sd_distance_to_reference_top4,mean_runtime_seconds,sd_runtime_seconds
250,62.04273047230647,20.35099262239598,0.3932563023173906,0.14036276449962296,0.1605945199999648,0.03530764404634119
500,65.08115323364949,17.39069645707724,0.347146125817354,0.10498669378713983,0.3044862600004611,0.04929951782704904
1000,72.04081077919982,16.135888937351538,0.32199452688846064,0.1062635896052712,0.5904325199982849,0.08559472615086025
2000,73.83197744534601,17.368415621920754,0.27643100199355897,0.11882404948972189,1.2684593133308226,0.313719925614269
5000,87.53201138860068,14.214926754382331,0.20346385503071138,0.16291982467513927,3.036634526664663,0.5131432078195194
10000,89.78917933206226,14.754180144751414,0.17960438060854772,0.1309576911693124,6.154447673333925,1.0190701338783366
20000,94.9288067587357,12.708811941405179,0.15174589516213946,0.09748426695748433,11.751631999995636,1.910540154622297
