state,training_n,reference_pool_size,reference_mean_fixed_score,reference_runtime_seconds,reference_mean_pred_FWHM,reference_mean_pred_PLQY_percent
cycle_1_start_n16,16,20000,0.5769543968054547,19.22269419999793,69.11862390237022,16.522755034629178
cycle_2_start_n20,20,20000,0.6645815589880995,14.548794699992868,65.91110345952114,20.48185856708836
cycle_3_start_n24,24,20000,0.5998375865203573,10.383671499992488,46.645184632043346,23.795605172392577
cycle_4_start_n28,28,20000,0.5609175524469666,10.605658100001165,41.14254778825601,25.26486860466352
cycle_5_start_n32,32,20000,0.4963980456341154,10.911465400000452,37.106362033964025,35.41061354767827
