pool_size,mean_relative_efficiency_percent,sd_relative_efficiency_percent,mean_distance_to_reference_top4,sd_distance_to_reference_top4,mean_runtime_seconds,sd_runtime_seconds,mean_within_state_seed_sd,max_within_state_seed_sd,passes_score_threshold_70pct,passes_runtime_threshold_2s,passes_practical_filter,recommended_by_practical_filter
250,62.04273047230647,20.35099262239598,0.3932563023173906,0.1403627644996229,0.1605945199999648,0.0353076440463411,8.04054375880055,12.367114638062624,False,True,False,False
500,65.08115323364949,17.39069645707724,0.347146125817354,0.1049866937871398,0.3044862600004611,0.049299517827049,4.777349028611908,8.873620236131359,False,True,False,False
1000,72.04081077919982,16.135888937351538,0.3219945268884606,0.1062635896052712,0.5904325199982849,0.0855947261508602,10.58930519470059,15.305343756090497,True,True,True,False
2000,73.83197744534601,17.368415621920754,0.2764310019935589,0.1188240494897218,1.2684593133308226,0.313719925614269,4.224577864214055,7.20543112957739,True,True,True,True
5000,87.53201138860068,14.214926754382333,0.2034638550307113,0.1629198246751392,3.036634526664663,0.5131432078195194,8.408745352573272,19.134510683404645,True,False,False,False
10000,89.78917933206226,14.754180144751414,0.1796043806085477,0.1309576911693124,6.154447673333925,1.0190701338783366,6.916435081211441,12.14469057113443,True,False,False,False
20000,94.9288067587357,12.70881194140518,0.1517458951621394,0.0974842669574843,11.751631999995636,1.910540154622297,5.121183450423028,8.427476109852499,True,False,False,False
